CONSTTK const
INTTK int
IDENFR a
ASSIGN =
PLUS +
INTCON 232
SEMICN ;
INTTK int
IDENFR fun1
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
INTCON 1
RPARENT )
SEMICN ;
RBRACE }
INTTK int
IDENFR fun2
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
IDENFR fun1
LPARENT (
RPARENT )
RPARENT )
SEMICN ;
RBRACE }
CHARTK char
IDENFR fun3
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
CHARCON _
RPARENT )
SEMICN ;
RBRACE }
CHARTK char
IDENFR fun4
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
IDENFR fun3
LPARENT (
RPARENT )
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR fun2
LPARENT (
RPARENT )
RPARENT )
SEMICN ;
RBRACE }
